,fee,names,ratings,repeat,response_time,review,services,title,boarding,sitting,daycare,checkups,walking,bathing,training,grooming,pickup/dropoff
0,25.0,patricia's pet heaven,4.5,9,1,11,1,"Phoenix, Arizona",1,0,0,0,0,0,0,0,0
1,35.0,**DOGGIE BED & BARKFEST**,5.0,1,2,45,3,"Phoenix, Arizona",1,0,1,0,0,1,0,0,0
2,20.0,Doggie Heaven,5.0,1,3,28,4,"Phoenix, Arizona",1,1,1,1,0,0,0,0,0
3,25.0,Stay at home mother and dog lover!,5.0,5,2,6,4,"Phoenix, Arizona",1,0,1,1,1,0,0,0,0
4,20.0,Kelrey's Doggy Dream Stay,4.5,3,1,3,4,"Phoenix, Arizona",1,0,1,0,0,1,0,0,1
5,25.0,Puppy Headquarters,5.0,1,2,1,4,"Phoenix, Arizona",1,1,0,1,1,0,0,0,0
6,35.0,SUZY Q to the Rescue,5.0,2,2,50,4,"Phoenix, Arizona",1,0,1,1,0,0,0,0,1
7,45.0,Dogs Drool & Rule,4.5,0,1,2,4,"Phoenix, Arizona",1,1,1,0,1,0,0,0,0
8,25.0,HappyTails @Camelback East Village,5.0,0,1,4,4,"Phoenix, Arizona",1,1,1,1,0,0,0,0,0
9,20.0,DogsBestFriend,5.0,0,1,2,4,"Phoenix, Arizona",1,1,1,0,1,0,0,0,0
10,25.0,North Central Dog Lovers,5.0,4,1,9,2,"Phoenix, Arizona",1,0,0,0,0,1,0,0,0
11,35.0,Big Backyard in Central Phoenix,5.0,2,1,41,2,"Phoenix, Arizona",1,0,1,0,0,0,0,0,0
12,35.0,Furever Friends Pet Sitting,5.0,0,1,1,4,"Phoenix, Arizona",0,1,0,1,1,0,0,0,1
13,25.0,pawsitively great care!,5.0,6,2,10,1,"Phoenix, Arizona",1,0,0,0,0,0,0,0,0
14,26.0,Pup Play Night and Day,0.0,0,1,0,4,"Phoenix, Arizona",1,0,1,1,1,0,0,0,0
15,35.0,The Pampered Pet Palace in Chandler,5.0,2,1,90,3,"Phoenix, Arizona",1,0,1,0,1,0,0,0,0
16,25.0,Gabys pet boarding,0.0,0,1,0,4,"Phoenix, Arizona",1,0,1,1,1,0,0,0,0
17,40.0,Bonnie's Pet Services,0.0,0,1,0,4,"Phoenix, Arizona",0,1,0,1,1,1,0,0,0
18,30.0,Puppy Sleepover,0.0,0,1,0,1,"Phoenix, Arizona",1,0,0,0,0,0,0,0,0
19,30.0,Digby's Dog Care Scottsdale Mtn.,5.0,0,2,1,4,"Phoenix, Arizona",1,0,1,1,1,0,0,0,0
20,28.0,Happiness Carrier,5.0,0,1,2,4,"Phoenix, Arizona",0,1,0,1,1,1,0,0,0
21,40.0,My Services Under Your Roof,5.0,8,1,24,3,"Phoenix, Arizona",0,1,0,1,1,0,0,0,0
22,40.0,Fur-vana,0.0,0,1,0,2,"Phoenix, Arizona",1,0,0,1,0,0,0,0,0
23,30.0,Christina's Critter Care,5.0,2,1,45,3,"Phoenix, Arizona",1,0,1,0,0,0,0,0,1
24,32.0,The Dawg Pack,5.0,3,1,9,3,"Phoenix, Arizona",1,0,1,0,0,1,0,0,0
25,25.0,Dawg Dayz of Peoria,5.0,1,3,20,1,"Phoenix, Arizona",1,0,0,0,0,0,0,0,0
26,45.0,Rotten Rottie Resort,5.0,1,2,17,4,"Phoenix, Arizona",1,0,1,1,0,0,1,0,0
27,25.0,Puppy Land,5.0,1,1,25,1,"Phoenix, Arizona",1,0,0,0,0,0,0,0,0
28,30.0,"MMM Boarding, Homecare & Visits",5.0,3,1,4,4,"Phoenix, Arizona",1,0,1,1,1,0,0,0,0
29,25.0,Cheap Pet Hair Cuts & Boarding Sitt,5.0,7,3,12,3,"Phoenix, Arizona",1,0,1,0,0,0,0,1,0
30,45.0,Citt? di Cane,5.0,5,1,6,2,"Phoenix, Arizona",1,0,1,0,0,0,0,0,0
