Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,FICO.Score
20000,20000,0.089,36,debt_consolidation,14.90%,SC,MORTGAGE,6541.67,735-739,14,14272,2,< 1 year,735
19200,19200,0.1212,36,debt_consolidation,28.36%,TX,MORTGAGE,4583.33,715-719,12,11140,1,2 years,715
35000,35000,0.2198,60,debt_consolidation,23.81%,CA,MORTGAGE,11500,690-694,14,21977,1,2 years,690
10000,9975,0.0999,36,debt_consolidation,14.30%,KS,MORTGAGE,3833.33,695-699,10,9346,0,5 years,695
12000,12000,0.1171,36,credit_card,18.78%,NJ,RENT,3195,695-699,11,14469,0,9 years,695
6000,6000,0.1531,36,other,20.05%,CT,OWN,4891.67,670-674,17,10391,2,3 years,670
10000,10000,0.079,36,debt_consolidation,26.09%,MA,RENT,2916.67,720-724,10,15957,0,10+ years,720
33500,33450,0.1714,60,credit_card,14.70%,LA,MORTGAGE,13863.42,705-709,12,27874,0,10+ years,705
14675,14675,0.1433,36,credit_card,26.92%,CA,RENT,3150,685-689,9,7246,1,8 years,685
7000,7000,0.0691,36,credit_card,7.10%,CA,RENT,5000,715-719,8,7612,0,3 years,715
2000,2000,0.1972,36,moving,10.29%,FL,RENT,3575,670-674,10,12036,0,6 years,670
10625,10625,0.1427,36,debt_consolidation,12.54%,CA,MORTGAGE,4250,665-669,14,10767,0,< 1 year,665
28000,27975,0.2167,60,debt_consolidation,13.07%,CT,MORTGAGE,14166.67,670-674,12,10311,0,1 year,670
35000,34950,0.089,36,debt_consolidation,20.46%,CT,RENT,9166.67,735-739,19,21536,0,1 year,735
9600,9600,0.0762,36,debt_consolidation,3.45%,DC,RENT,11250,725-729,13,4606,0,< 1 year,725
25000,24975,0.1565,60,debt_consolidation,21.99%,CA,RENT,5416.67,730-734,6,13929,0,9 years,730
10000,10000,0.1212,36,debt_consolidation,17.72%,CA,RENT,9000,695-699,18,20317,0,7 years,695
14000,13900.25,0.1037,60,debt_consolidation,11.95%,OH,RENT,4333.33,740-744,6,7419,0,9 years,740
10000,10000,0.0976,36,credit_card,7.13%,FL,RENT,2733.33,730-734,7,6112,2,3 years,730
5200,5175,0.0999,60,debt_consolidation,10.29%,AL,MORTGAGE,3750,760-764,10,16094,0,< 1 year,760
22000,21975,0.2198,36,debt_consolidation,11.19%,TX,MORTGAGE,6666.67,665-669,9,23124,0,10+ years,665
