Manhattan Rolling Sales File.  All Sales From June 2014 - May 2015.,,,,,,,,,,,,,,,,,,,,
Sales File as of 5/31/2015  Coop Sales Files as of 6/5/2015,,,,,,,,,,,,,,,,,,,,
"Neighborhood Name 5/19/2015, Descriptive Data is as of 5/19/2015",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,ALPHABET CITY            ,01  ONE FAMILY DWELLINGS                    ,1,400,19, ,A4, 526 EAST 5TH STREET                       ,            ,10009,1,0,1,"1,883","5,200",1900, 1 , A4 ,"$6,500,000",3/18/15
1,ALPHABET CITY            ,01  ONE FAMILY DWELLINGS                    ,1,402,42, ,S1, 96 AVENUE B                               ,            ,10009,1,1,2,"1,400","1,839",1901, 1 , S1 ,$0,12/5/14
1,ALPHABET CITY            ,03  THREE FAMILY DWELLINGS                  ,1,377,66, ,C0, 243 EAST 7TH   STREET                     ,            ,10009,3,0,3,"2,381","3,084",1899, 1 , C0 ,"$2,900,000",11/26/14
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,372,51, ,C7, 300 EAST 2ND   STREET                     ,            ,10009,8,2,10,"2,650","7,620",1920, 2 , C7 ,$0,7/18/14
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2A,373,63, ,C3, 285 EAST 3RD   STREET                     ,            ,10009,4,0,4,"2,084","2,917",1900, 2 , C3 ,"$3,100,000",8/5/14
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,376,7, ,C4, 102 AVENUE C                              ,            ,10009,26,3,29,"3,772","16,679",1900, 2 , C4 ,"$14,550,000",2/5/15
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,376,7, ,C4, 102 AVENUE C                              ,            ,10009,26,3,29,"3,772","16,679",1900, 2 , C4 ,$0,2/5/15
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,377,51, ,C5, 273 EAST 7TH   STREET                     ,            ,10009,8,0,8,"2,169","5,500",1900, 2 , C5 ,$0,10/16/14
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2A,377,52, ,C2, 271 EAST 7TH   STREET                     ,            ,10009,5,0,5,"2,169","3,728",1900, 2 , C2 ,"$800,000",11/3/14
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2A,377,52, ,C2, 271 EAST 7TH   STREET                     ,            ,10009,5,0,5,"2,169","3,728",1900, 2 , C2 ,"$1,245,000",7/30/14
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2A,377,61, ,C3, 253 EAST 7TH   STREET                     ,            ,10009,4,0,4,"2,413","3,155",1920, 2 , C3 ,"$4,300,000",8/13/14
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,379,37, ,C7, 133 AVENUE D                              ,            ,10009,20,2,22,"3,481","14,588",1930, 2 , C7 ,"$10,500,000",3/11/15
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,385,18, ,C7, 226 EAST 3RD   STREET                     ,            ,10009,14,3,17,"2,623","8,385",1900, 2 , C7 ,"$5,700,000",12/4/14
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,385,36, ,C7, 27 AVENUE C                               ,            ,10009,24,1,25,"2,650","9,960",1910, 2 , C7 ,$0,9/8/14
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,385,50, ,C4, 240 EAST 2ND   STREET                     ,            ,10009,24,0,24,"2,623","11,322",1910, 2 , C4 ,$0,8/25/14
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,386,11, ,C4, 250-254 EAST 4TH   STREET                 ,            ,10009,34,1,35,"2,404","33,130",1900, 2 , C4 ,"$800,265",1/29/15
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,387,47, ,C4, 279 EAST 4TH   STREET                     ,            ,10009,12,0,12,"2,382","15,089",1900, 2 , C4 ,$0,12/23/14
